GSE,GSM,age,sex
GSE75511,GSM1958208,22,M
GSE75511,GSM1958209,20,M
GSE75511,GSM1958210,51,M
GSE75511,GSM1958211,60,F
GSE75511,GSM1958212,46,F
GSE75511,GSM1958213,42,M
GSE75511,GSM1958214,22,F
GSE75511,GSM1958215,22,F
GSE75511,GSM1958216,33,F
GSE75511,GSM1958217,29,F
GSE75511,GSM1958218,19,M
GSE75511,GSM1958219,44,F
GSE75511,GSM1958220,60,M
GSE75511,GSM1958221,50,F
GSE75511,GSM1958222,29,M
GSE75511,GSM1958223,47,M
GSE75511,GSM1958224,57,F
GSE75511,GSM1958225,27,F
GSE75511,GSM1958226,63,F
GSE75511,GSM1958227,50,M
GSE75511,GSM1958228,46,M
GSE75511,GSM1958229,22,F
GSE75511,GSM1958230,21,M
GSE75511,GSM1958231,57,M
GSE75511,GSM1958232,28,F
GSE75511,GSM1958233,25,F
GSE75511,GSM1958234,20,F
GSE75511,GSM1958235,30,F
GSE75511,GSM1958236,19,M
GSE75511,GSM1958237,51,M
GSE75511,GSM1958238,33,M
GSE75511,GSM1958239,51,M
GSE75511,GSM1958240,49,F
GSE75511,GSM1958241,23,M
GSE75511,GSM1958242,37,F
GSE75511,GSM1958243,21,M
GSE75511,GSM1958244,24,F
GSE75511,GSM1958245,18,F
GSE75511,GSM1958246,52,F
GSE75511,GSM1958247,56,M
GSE75511,GSM1958248,36,F
GSE75511,GSM1958249,29,F
GSE75511,GSM1958250,59,F
